Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
146,657.3300604815877,29.248638810787998,17.147722890981186,1494.0,1494.0,1494.0,1494.0,0.8893499999999994
147,570.4410083863827,29.327480163081276,15.616999999979999,207.0,207.0,207.00000014478564,207.0,0.0
148,657.32114927997,29.59139509601661,17.70926790008435,2333.0,2333.0,2234.2700111547456,2333.0,1.2704999999999993
149,657.3389716824634,29.523954164974196,15.616999999980003,500.0,500.0,500.0,500.0,0.0
150,652.4646699794273,30.36708487304984,15.61699999998,219.0,219.0,207.02078883259608,219.0,0.0
151,652.4114021029523,30.178022077276363,19.736163816680104,7198.0,7198.0,8819.595811081166,8029.646014983251,2.6844679800705316
152,674.3974489713743,31.601900000001038,22.152316434545572,474.0,474.0,472.8413339153906,474.0,7.59250000002
153,758.423667533266,32.21074224888416,18.159752983210982,1737.0,1737.0,2138.9676349303263,1737.0,3.040799999999998
154,758.4045237512759,32.126282297695845,19.826449380083645,53329.0,53329.0,51018.42309916394,56463.5679076899,3.647987596446422
155,758.4140956482719,32.2284440398099,21.028689132892637,4033.0,4033.0,3963.440253923983,4033.0,3.8009999999999993
156,843.4404149299324,32.78638338717066,15.61699999998,287.0,287.0,287.0,287.0,0.0
157,843.4505091907963,32.87190948456137,19.955014071091767,1340.0,1340.0,1340.0,1359.1956758234373,4.292516273227677
158,843.420226663621,33.20822931560147,18.9737999358874,30334.0,30334.0,32924.7425227786,26842.491604095652,3.4765454022520457
159,843.4303208036795,33.2847348860103,18.51204276291594,20035.0,20035.0,19819.570037334957,18076.675255468388,4.5442767929281915
160,843.4101326581733,33.35903375322233,15.61699999998,1970.0,1970.0,1970.0,1970.0,0.0
161,997.5101442784076,37.38787669252922,25.956845846371728,1097.0,1097.0,1097.0,1097.0,7.061625000004491
162,1079.6036799517242,38.323635257931734,19.74136676329039,27671.0,27674.317926010743,24546.03535513847,25226.03048134461,4.076574947320627
163,873.7687624473123,39.023500032366286,15.616999999979999,282.0,282.0,282.00000019882197,282.0,0.0
164,874.7759115528239,39.568476352212265,15.616999999979999,1916.0,1916.0,1794.3056206887757,1916.0,0.0
165,901.8124222412581,39.68147091064963,15.616999999979999,394.0,394.0,394.0,394.0,0.0
166,901.8541732893959,40.04254792881952,15.61699999998,243.0,243.0,243.0,243.0,0.0
167,901.8332976445229,40.120790666666494,15.61699999998,210.0,210.0,210.0,210.0,0.0
168,915.8425719876328,40.45999239638908,15.61699999998,234.0,234.0,234.00000027443053,234.0,0.0
169,244.1546913237689,0.07980266666700002,19.50184933580417,697.0,697.0,697.0,697.0,2.2868999999999975
170,244.1546913237689,0.11970400000000002,19.261301960790487,671.0,671.0,671.0,671.1414042157857,7.6331100522868125
171,244.15469132376893,0.159605333333,19.34066866082226,370.0,370.0,370.0,370.0233624476959,6.881594523672943
172,244.16012227239852,0.877829333333,20.6885,455.0,455.0,455.0,557.0699186562282,1.9969241192869915
173,245.12779635856677,0.9177306666669999,19.395579404711107,340.0,340.0,340.0,340.0,2.2868999999999975
174,245.12779635856677,0.957632,18.136355240942134,228.0,228.0,228.0,228.0,1.1434499999999979
175,245.12779635856677,0.9975333333329999,18.136355240942134,228.0,228.0,228.0,228.0,1.1434499999999979
176,217.13489839906964,1.037434666667,18.2260876370504,194.0,194.0,194.0,194.0,1.1434499999999979
177,217.13489839906964,1.077336,18.2260876370504,194.0,194.0,194.0,194.0,1.1434499999999979
178,217.13489839906964,1.117237333333,18.2260876370504,194.0,194.0,194.0,194.0,1.1434499999999979
179,244.19814073655292,1.819138060364638,17.974249997419708,88.0,88.0,88.0,88.0,1.2704999999999984
180,244.1438295746045,1.9152999768787538,16.87699999998,324.0,324.0,324.00000029286525,324.0,0.0
181,229.1480225038135,2.0150173333335,16.876999999980004,124.0,124.0,124.0,124.0,0.0
182,244.1655533145459,2.3542083695841898,16.876999999979997,171.0,171.0,171.0000001438231,171.0,0.0
183,674.3432931662401,2.513800222251344,16.876999999979997,138.0,138.0,138.00000011794594,138.0,0.0
