Spectrum Number,MS Level,DT,Retention Time (sec),Min m/z,Base Peak m/z,Base Peak Intensity,CCS (Å^2),Cluster
243,1,45.877272,3.2489999999999997,116.96185424721806,141.01246449970614,91.0,370.0738918246648,88
244,1,45.997056,3.2489999999999997,116.96185424721806,141.01246449970614,91.0,371.03871596633377,88
245,1,46.11684,3.2489999999999997,116.96185424721806,141.01246449970614,91.0,372.00354010800265,88
246,1,46.236624,3.2489999999999997,116.96185424721806,116.96936405803875,78.0,372.96836424967154,88
247,1,47.194896,3.2489999999999997,72.99274051235888,72.99570677185443,23.0,402.22819082991634,89
248,1,47.31468,3.2489999999999997,72.99274051235888,72.99570677185443,23.0,403.2476097026834,89
249,1,47.434464,3.2489999999999997,72.99274051235888,72.99570677185443,23.0,404.26702857545035,89
250,1,47.554248,3.2489999999999997,92.92291471368364,92.92626152497591,21.0,393.0497735947545,90
251,1,47.674032,3.2489999999999997,61.98390243027217,61.98663586246479,24.0,416.19074677037474,91
252,1,47.793816,3.2489999999999997,61.98390243027217,116.9656091510519,41.0,417.23496674625255,91
253,1,47.9136,3.2489999999999997,61.98390243027217,116.9656091510519,41.0,418.2791867221304,91
254,1,48.033384,3.2489999999999997,116.96185424721806,116.9656091510519,41.0,387.4407263747048,92
255,1,48.51252,3.2489999999999997,72.98977431313443,72.99570677185443,23.0,413.4441279063692,93
256,1,48.632304,3.2489999999999997,72.98977431313443,72.99570677185443,23.0,414.4635525228994,93
257,1,48.752088,3.2489999999999997,72.98977431313443,72.99570677185443,23.0,415.4829771394297,93
258,1,49.71036,3.2489999999999997,141.0042189163885,141.00834169785594,23.0,394.28930932000213,94
259,1,49.830144,3.2489999999999997,141.0042189163885,141.00834169785594,23.0,395.2381096472537,94
260,1,49.949928,3.2489999999999997,141.0042189163885,141.00834169785594,23.0,396.1869099745053,94
261,1,50.189496,3.2489999999999997,118.96796077197024,118.97174773870992,29.0,404.1476612007101,95
262,1,50.30928,3.2489999999999997,118.96796077197024,118.97174773870992,57.0,405.1109125279203,95
263,1,50.429064,3.2489999999999997,118.96796077197024,118.97174773870992,57.0,406.07416385513034,95
264,1,50.548848,3.2489999999999997,118.96796077197024,118.97174773870992,27.0,407.0374151823405,95
265,1,53.30388,3.2489999999999997,59.00829010269978,59.010957116127756,40.0,468.90574343341996,96
266,1,53.423664,3.2489999999999997,59.00829010269978,59.010957116127756,40.0,469.95812528988273,96
267,1,53.543448,3.2489999999999997,141.0042189163885,141.00834169785594,29.0,424.6509197920527,97
268,1,53.663232,3.2489999999999997,141.0042189163885,141.02483334664103,42.0,425.5997201193043,97
269,1,53.783016,3.2489999999999997,141.02071032410186,141.02483334664103,42.0,426.54438754163743,98
270,1,53.9028,3.2489999999999997,141.02071032410186,141.02483334664103,24.0,427.49317867579293,98
271,1,54.381936,3.2489999999999997,116.96936405803875,116.97311908240987,37.0,438.5736859720598,99
272,1,54.50172,3.2489999999999997,116.96936405803875,116.97311908240987,37.0,439.5385041301968,99
273,1,54.621504,3.2489999999999997,116.96936405803875,116.97311908240987,37.0,440.5033222883339,99
274,1,56.538048,3.2489999999999997,118.9641739212944,118.96796077197024,50.0,455.2013620736875,100
275,1,56.657832,3.2489999999999997,118.9641739212944,118.96796077197024,50.0,456.16461632224696,100
276,1,56.777616,3.2489999999999997,118.9641739212944,118.96796077197024,50.0,457.12787057080646,100
277,1,57.855672,3.2489999999999997,92.92291471368364,116.96936405803875,46.0,478.0728058992875,101
278,1,57.975456,3.2489999999999997,92.92291471368364,116.96936405803875,46.0,479.0614458098054,101
279,1,58.09524,3.2489999999999997,92.92291471368364,116.96936405803875,46.0,480.0500857203231,101
280,1,0.239568,4.319999999999999,141.02071032410186,141.02483334664103,47.0,2.4347505741366384,102
281,1,0.359352,4.319999999999999,141.02071032410186,141.02483334664103,47.0,3.383541708292121,103
282,1,0.479136,4.319999999999999,141.02071032410186,141.02483334664103,47.0,4.332332842447604,104
283,1,1.437408,4.319999999999999,61.98663586246479,61.98936935492852,26.0,13.121746041590068,105
284,1,1.557192,4.319999999999999,61.98663586246479,61.98936935492852,26.0,14.165958852197003,106
