Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
156.04419,0.72,545
156.04853,0.72,600
156.05287,0.72,409
156.05721,0.72,223
156.06155,0.72,218
156.06590,0.72,165
156.08326,0.72,6
156.09195,0.72,21
156.09629,0.72,15
156.10063,0.72,23
175.11111,0.72,256
175.11571,0.72,149
175.12031,0.72,145
175.13411,0.72,317
175.13871,0.72,119
175.14331,0.72,267
175.14791,0.72,421
175.15251,0.72,362
175.15711,0.72,106
175.16171,0.72,116
175.16631,0.72,32
175.17091,0.72,30
175.17551,0.72,8
175.18931,0.72,10
176.05525,0.72,234
226.01774,0.72,47
226.02297,0.72,56
226.02819,0.72,37
226.03342,0.72,67
235.06800,0.72,2
235.07333,0.72,2
235.09997,0.72,11
244.13840,0.72,42
244.14383,0.72,0
244.14926,0.72,46
325.27305,0.72,49
325.27932,0.72,181
325.28559,0.72,187
325.29185,0.72,181
325.29812,0.72,219
325.30439,0.72,97
325.31066,0.72,30
325.31693,0.72,119
325.32320,0.72,39
325.34828,0.72,9
326.27051,0.72,54
326.27679,0.72,172
326.28307,0.72,104
326.28935,0.72,81
326.29562,0.72,65
326.30190,0.72,48
326.30818,0.72,30
326.32702,0.72,13
326.33330,0.72,53
326.33957,0.72,53
402.35885,0.72,2
526.23116,0.72,10
620.32323,0.72,7
620.34054,0.72,10
620.34920,0.72,12
620.35786,0.72,12
620.36651,0.72,6
975.56311,0.72,5
103.11813,0.76,160
103.12166,0.76,455
103.14284,0.76,5
103.14637,0.76,1
109.09295,0.76,91
156.03550,0.76,231
156.03984,0.76,96
156.04419,0.76,444
156.04853,0.76,483
156.05287,0.76,324
156.05721,0.76,159
156.06155,0.76,165
156.06590,0.76,104
156.07024,0.76,27
156.08326,0.76,36
156.09195,0.76,13
156.09629,0.76,15
156.10063,0.76,15
175.11111,0.76,256
175.11571,0.76,149
175.12031,0.76,145
175.12491,0.76,105
175.13411,0.76,317
175.13871,0.76,119
175.14331,0.76,98
175.14791,0.76,173
175.15251,0.76,149
175.15711,0.76,0
175.16171,0.76,44
175.18011,0.76,3
175.18931,0.76,6
176.05525,0.76,397
226.01774,0.76,47
226.02297,0.76,56
226.02819,0.76,0
226.03342,0.76,32
229.16907,0.76,13
235.06800,0.76,2
235.07333,0.76,2
235.09997,0.76,11
244.13840,0.76,42
244.14383,0.76,0
244.14926,0.76,46
244.17642,0.76,111
325.29812,0.76,90
325.30439,0.76,30
325.31066,0.76,12
325.31693,0.76,47
325.32320,0.76,11
325.34828,0.76,9
326.27051,0.76,54
326.27679,0.76,172
326.28307,0.76,104
326.28935,0.76,81
326.29562,0.76,65
326.30190,0.76,48
326.30818,0.76,30
326.32702,0.76,13
326.33330,0.76,53
326.33957,0.76,53
402.35885,0.76,2
526.23116,0.76,10
620.32323,0.76,27
620.33189,0.76,35
620.34054,0.76,20
620.34920,0.76,21
620.35786,0.76,21
620.36651,0.76,11
975.56311,0.76,5
156.03550,0.80,113
156.03984,0.80,447
156.04419,0.80,198
156.04853,0.80,170
156.05287,0.80,108
156.05721,0.80,58
156.06155,0.80,78
156.06590,0.80,81
156.07024,0.80,27
156.08326,0.80,87
156.08761,0.80,29
156.09195,0.80,5
156.09629,0.80,12
156.10063,0.80,8
156.10498,0.80,1
175.10652,0.80,115
175.11111,0.80,322
175.12031,0.80,82
175.12491,0.80,164
175.18011,0.80,6
176.05525,0.80,275
192.09396,0.80,14
192.09878,0.80,5
192.10360,0.80,5
192.10842,0.80,7
229.16907,0.80,13
235.10530,0.80,24
244.13840,0.80,42
244.14383,0.80,0
244.14926,0.80,177
244.15469,0.80,206
244.16012,0.80,216
244.16555,0.80,235
244.17098,0.80,182
244.17642,0.80,232
244.18185,0.80,100
311.33398,0.80,4
311.35238,0.80,1
325.35455,0.80,15
326.27051,0.80,222
326.27679,0.80,195
326.28307,0.80,68
326.28935,0.80,39
326.29562,0.80,35
326.30190,0.80,24
326.30818,0.80,13
326.31446,0.80,15
445.15275,0.80,3
488.27158,0.80,95
526.23116,0.80,23
526.23913,0.80,118
526.24710,0.80,92
526.25508,0.80,57
526.26305,0.80,42
526.27102,0.80,35
526.27900,0.80,18
538.32342,0.80,2
